image_url,id,Категория,Сезон,Материал подошвы,Материал верха,Цвет
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730270_2_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730271_3_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730272_4_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730273_5_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730274_6_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
https://a.lmcdn.ru/img600x866/R/T/RTLAAO557701_14899699_1_v2.jpg,RTLAAO557701,Высокие ботинки,"демисезон, зима",искусственный материал,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLAAO557701_14899700_2_v1.jpg,RTLAAO557701,Высокие ботинки,"демисезон, зима",искусственный материал,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLAAO557701_14899701_3_v1.jpg,RTLAAO557701,Высокие ботинки,"демисезон, зима",искусственный материал,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLAAO557701_14899702_4_v1.jpg,RTLAAO557701,Высокие ботинки,"демисезон, зима",искусственный материал,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLAAO557701_14899703_5_v1.jpg,RTLAAO557701,Высокие ботинки,"демисезон, зима",искусственный материал,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLABZ840601_18063859_1_v1.jpg,RTLABZ840601,Челси,Не указано,термоэластопласт,натуральная замша,черный
https://a.lmcdn.ru/img600x866/R/T/RTLABZ840601_18063860_2_v1.jpg,RTLABZ840601,Челси,Не указано,термоэластопласт,натуральная замша,черный
